category,itemId,parentCategory,title,imageUrl,itemHashint64,upc,modifiedDate,createdDate,department,popularityIndex,brand,isActive
LAUNDRY,230311,CLEANERS,22-oz Natural Stain Remover,http://images.example.com/product/converted/044600/044600303277.jpg,41658584290199155,044600303277,2013-02-08 10:10:15,2013-01-23 02:05:23,SHELVING & HOUSEWARES,NULL,Greenworks,0
HOME IMPROVEMENT BOOKS,204426,BOOKS & MAGAZINES,Dewalt Electrical Professional Reference,http://images.example.com/product/converted/798122/798122733622.jpg,41658982662740015,798122733622,2013-02-08 10:10:04,2013-01-23 02:04:00,WIND/WALLS,NULL,Home Design Alternatives,0
MINWAX CLEARS,273848,INTERIOR STAINS,Oil-Modified Satin Polyurethane,http://images.example.com/product/converted/027426/027426710337.jpg,41662153972225034,027426710337,2013-02-08 10:10:33,2013-01-23 02:07:36,PAINT,NULL,Minwax,0
DECORATIVE WALLPLATES,222813,WALL PLATES & DIMMERS,1-Gang White Standard Duplex Receptacle Plastic Wall Plate,http://images.example.com/product/converted/022788/022788646034.jpg,41672505290894901,022788646034,2013-02-08 10:10:12,2013-01-23 02:05:03,ROUGH ELECTRICAL,NULL,Brainerd,0
JUVENILE PRODUCTS,127742,HAND TOOLS,Kid's 2-Handle Multipurpose Work Bench,http://images.example.com/product/converted/878834/878834000141.jpg,41677203065746880,878834000141,2013-02-08 10:09:35,2013-01-23 01:59:41,TOOLS,NULL,Red Toolbox,0
MAPLE BOARDS,44336,FINISH BOARDS,1X6X3 MAPLE BOARD,http://images.example.com/product/converted/848038/848038001763.jpg,41684932369011802,073291084783,2013-02-08 10:11:43,2013-01-23 01:54:00,MILLWORK,NULL,Weyerhaeuser,0
TREATED HEM-FIR TIMBERS,109714,TREATED LUMBER,4-in x 4-in x 96-in Standard Treated Deck Post,http://images.example.com/product/converted/098411/098411002522.jpg,41700089893923177,098411002522,2013-02-08 10:09:28,2013-01-23 01:58:46,LUMBER,NULL,Top Choice,0
UNDERSINK FILTRATN & REPL FILTERS,72104,WATER TREATMENT,3-Pack Under Sink Replacement Water Filters,http://images.example.com/product/converted/090259/090259891191.jpg,41702745851641337,090259891191,2013-02-08 10:12:00,2013-01-23 01:56:06,ROUGH PLUMBING,NULL,Whirlpool,0
NUMBERS AND LETTERS,248170,GENERAL HARDWARE,For Sale By Owner Selling Solution,http://images.example.com/product/converted/185163/185163000026.jpg,41704331727195128,185163000026,2013-02-08 10:10:23,2013-01-23 02:06:36,HARDWARE,NULL,ForSaleByOwner.com,0
KEYS - AXXESS,71993,LOCKSETS,#94 Arrow Lock Key Blank,http://images.example.com/product/converted/736511/736511500943.jpg,41706343533321085,736511500943,2013-02-08 10:12:00,2013-01-23 01:56:06,HARDWARE,NULL,The Hillman Group,0
LIGHT BULBS-GENERAL PURPOSE,353878,LIGHT BULBS,GE 3980LM 1PK A21 CLEAR,http://images.example.com/product/converted/043168/043168904568.jpg,41707895069735698,043168904568,2013-02-08 10:11:08,2013-01-23 02:12:26,LIGHTING,NULL,GE,0
IMPORT FLASHLIGHTS,42927,FLASHLIGHTS,Krypton Handheld Flashlight,http://images.example.com/product/converted/693748/6937481300197.jpg,41713203650550755,6937481300197,2013-02-08 10:11:39,2013-01-23 01:53:55,HARDWARE,NULL,Task Force,0
DANCO FAUCET REPAIR,41112,FAUCET/TOILET/SINK/MISC REPAIR,Faucet Trim & Repair Kit For Delta,http://images.example.com/product/converted/037155/037155807307.jpg,41719997801343094,037155807307,2013-02-08 10:11:33,2013-01-23 01:53:48,ROUGH PLUMBING,NULL,Danco,0
DISCONTINUED COLLECTIONS,201557,VANITIES & TOPS,"Elegance 82-1/2""H x 20""W x 21-1/2""D Maple Linen Cabinet",http://images.example.com/product/converted/094803/094803029429.jpg,41735461691685141,094803029429,2013-02-08 10:10:04,2013-01-23 02:03:51,FASHION PLUMBING,NULL,ESTATE by RSI,0
SPRINKLERS,59235,WATERING,(34516)900 SQ FT RING SPRINKLER,http://images.example.com/product/converted/034411/034411030660.jpg,41738832010056068,034411030660,2013-02-08 10:11:53,2013-01-23 01:55:07,NURSERY & GARDENING,NULL,Gilmour,0
CAULK TOOLS AND ACCESSORIES,170820,CAULK,DRP 1/2OZ APPLNC TOUCHUP ALMOND,http://images.example.com/product/converted/041072/041072121026.jpg,41760570648422423,041072121026,2013-02-08 10:09:53,2013-01-23 02:02:21,PAINT,NULL,Homax,0
FLOWER BULBS - FALL,214408,FLOWER BULBS,60-Pack Blanda Anemone (L15027),http://images.example.com/product/converted/820572/820572231776.jpg,41763614492386808,820572231776,2013-02-08 10:10:08,2013-01-23 02:04:32,NURSERY & GARDENING,NULL,Unbranded,0
REFRIGERTORS-SAMSUNG-SIDE BY SIDE,353826,REFRIGERATORS,25.6 cu ft Side-by-Side Refrigerator (Platinum) ENERGY STAR,http://images.example.com/product/converted/036725/036725569614.jpg,41772799187226848,036725569614,2013-02-08 10:11:08,2013-01-23 02:12:25,APPLIANCES,NULL,Samsung,0
BRASSCRAFT FAUCET REPAIR,200247,FAUCET/TOILET/SINK/MISC REPAIR,Chrome Tub & Shower OEM Mixet Trim Kit,http://images.example.com/product/converted/039166/039166096978.jpg,41775296040058603,039166096824,2013-02-08 10:10:03,2013-01-23 02:03:48,ROUGH PLUMBING,NULL,Mixet,0
SQUARE D OTHER/MISC,67599,SWITCH GEAR & ACCESSORIES,30 to 50 PSI Water Pump Pressure Switch,http://images.example.com/product/converted/047569/047569807855.jpg,41788965830473547,047569807855,2013-02-08 10:11:57,2013-01-23 01:55:44,ROUGH ELECTRICAL,NULL,Square D,0
TREX DECKING,352605,DECKING,1 x 6 x 8 Pre-Finished PVC Board,http://images.example.com/product/converted/652835/652835063608.jpg,41793049878410411,652835063608,2013-02-08 10:11:07,2013-01-23 02:12:18,LUMBER,NULL,Trex,0
TOOLS - HAMMERS IMPORT,116735,HAND TOOLS,KOBALT 7OZ HICKORY CURVE HAMMER,http://images.example.com/product/converted/000000/000000000000.jpg,41803823379201162,820909627500,2013-02-08 10:09:31,2013-01-23 01:59:10,TOOLS,NULL,Kobalt,0
LIVE NURSERY-SHD & FLR. CONT. TREES,189661,SHRUBS/TREES,10.25-Gallon Forest Pansy Redbud Tree (L1071),http://images.example.com/product/converted/015415/015415346483.jpg,41829641912289239,015415346483,2013-02-08 10:09:59,2013-01-23 02:03:20,NURSERY & GARDENING,NULL,Unbranded,0
RUST-PREVENTATIVE,244350,SPRAYS & ENAMELS,12 Oz. Orange Gloss Spray Paint,http://images.example.com/product/converted/020066/020066131821.jpg,41831754491553104,020066131821,2013-02-08 10:10:21,2013-01-23 02:06:23,PAINT,NULL,Rust-Oleum,0
CHROME ROMAN TUB,256039,BATH FAUCETS,DELTA CH ROMAN TUB TRIM,http://images.example.com/product/converted/034449/034449624268.jpg,41847163750425397,034449624268,2013-02-08 10:10:26,2013-01-23 02:06:58,FASHION PLUMBING,NULL,Delta,0
LAWN & GARDEN - MOWER PARTS-BELTS,291580,OPE MAINTENANCE / ACCESSORIES,Self-Propelled Belt for Walk-Behind Mowers,http://images.example.com/product/converted/037049/037049943364.jpg,41848642555055395,037049943364,2013-02-08 10:10:38,2013-01-23 02:08:14,OUTDOOR POWER EQUIPMENT,NULL,Arnold,0
WALL BASE,234299,STOCK VINYL FLOOR COVERING,"4""W x 4'L Almond Wall Base",http://images.example.com/product/converted/719381/719381040405.jpg,41858321795793047,719381040405,2013-02-08 10:10:17,2013-01-23 02:05:35,FLOORING,NULL,FLEXCO,0
CHEYENNE,105230,IN-STOCK KITCHEN CABINETS,30-in Cheyenne Saddle Door and Drawer Base Cabinet,http://images.example.com/product/converted/772515/772515363535.jpg,41860387935743267,772515363535,2013-02-08 10:09:26,2013-01-23 01:58:29,KITCHEN CABINETS AND COUNTERTOPS,NULL,Kitchen Classics,0
MONROVIA - PERENNIALS,431451,"ANNUALS, PERENNIALS & VEGETABLES",3.60 GAL AUSTRALIAN FERN,http://images.example.com/product/converted/000000/000000000000.jpg,41861718293559141,014949359051,2013-02-08 10:11:40,2013-01-23 02:16:47,NURSERY & GARDENING,NULL,Monrovia,0
NCF-DECORATIVE POLYRESIN PLANTERS,4259,OUTDOOR/INDOOR PLANTERS,"7-3/1075""H x 10""W x 10""D Plastic Planter",http://images.example.com/product/converted/056554/056554310638.jpg,41864343033664491,056554310638,2013-02-08 10:11:38,2013-01-23 01:50:51,OUTDOOR FASHIONS,NULL,Listo,0
WHEELS,39426,OPE MAINTENANCE / ACCESSORIES,UNIV FLAT FREE WHEELBARROW TIRE,http://images.example.com/product/converted/813117/813117002658.jpg,41865325325100747,813117002658,2013-02-08 10:11:28,2013-01-23 01:53:41,OUTDOOR POWER EQUIPMENT,NULL,Arnold,0
CABOT STAINS,266858,INTERIOR STAINS,DRP SAMPLE DARK WALNUT STAIN CABT,http://images.example.com/product/converted/080047/080047002441.jpg,41865558447710461,080047002441,2013-02-08 10:10:30,2013-01-23 02:07:18,PAINT,NULL,Cabot,0
WINDOWS-VINYL-THERMASTAR 20 SERIES,329601,WINDOWS,31-3/4-in x 61-3/4-in 20 Series Vinyl Double Pane Replacement Double Hung Window,http://images.example.com/product/converted/748171/748171615066.jpg,41871419864388411,748171615066,2013-02-08 10:10:55,2013-01-23 02:10:41,MILLWORK,NULL,ThermaStar by Pella,0
INDOOR TRASH BAGS,289333,TRASH BAGS,CLEAN KITCHEN PAPER COMPACTOR BAG,http://images.example.com/product/converted/000000/000000000000.jpg,41880522893717189,666487133503,2013-02-08 10:10:37,2013-01-23 02:08:07,SHELVING & HOUSEWARES,NULL,Clean Kitchen,0
IMPORT CABINET HARDWARE,99102,CABINET HARDWARE,3-in Center-to-Center Satin Nickel Bar Cabinet Pull,http://images.example.com/product/converted/654880/654880012044.jpg,41883241495599607,654880012044,2013-02-08 10:12:15,2013-01-23 01:58:06,HARDWARE,NULL,Gatehouse,0
WALL TILE - CER / PORCELAIN,302927,WALL TILE,12-in x 12-in Alameda White Glazed Porcelain Mosaic Floor Tile,http://images.example.com/product/converted/730575/730575867431.jpg,41885508699606694,730575867431,2013-02-08 10:10:43,2013-01-23 02:08:52,FLOORING,NULL,American Olean,0
FENCING - GATES (PANEL/TUBE STEEL),179839,FARM & GARDEN,PIN LOCK - GATE OPENER FRONT MOUN,http://images.example.com/product/converted/000000/000000000000.jpg,41905156669769663,090835060904,2013-02-08 10:09:56,2013-01-23 02:02:49,LUMBER,NULL,Mighty Mule,0
LIVE NURSERY - GREENHOUSE FOLIAGE,76153,HOUSE PLANTS,12 OZ TROPICALS W/SAUCER ASSORTED,http://images.example.com/product/converted/000000/000000000000.jpg,41908239913585914,715869400006,2013-02-08 10:12:02,2013-01-23 01:56:29,NURSERY & GARDENING,NULL,Unbranded,0
PREMIUM PATIO STONES,300809,PATIO HARDSCAPE,8X16 HARVEST BLEND 6 COBBLE STONE,http://images.example.com/product/converted/000000/000000000000.jpg,41914941543392185,742786203328,2013-02-08 10:10:42,2013-01-23 02:08:45,NURSERY & GARDENING,NULL,Oldcastle,0
LIVE NURSERY - PATIO TROPICALS,351150,SHRUBS/TREES,2.50 GAL MANDEVILLA STAKED PATIO,http://images.example.com/product/converted/092852/092852058735.jpg,41916517887827896,011068401746,2013-02-08 10:11:06,2013-01-23 02:12:07,NURSERY & GARDENING,NULL,Unbranded,0
MAPLE PROJECT BOARDS,326965,FINISH BOARDS,1/4X6X4 WHT MAPLE (SCANT),http://images.example.com/product/converted/073291/073291503376.jpg,41932905603768106,073291503376,2013-02-08 10:10:53,2013-01-23 02:10:25,MILLWORK,NULL,Weyerhaeuser,0
WINDOWS-ALUM-AWP,16053,WINDOWS,20-in x 38-7/8-in 500 Series Single Pane Replacement Single Hung Window,http://images.example.com/product/converted/664275/664275223412.jpg,41945028766829492,664275223412,2013-02-08 10:09:48,2013-01-23 01:51:48,MILLWORK,NULL,West Palm,0
RANGE HOODS - WHIRLPOOL,417164,STOCK RANGEHOODS & ACCESSORIES,30-in Undercabinet Range Hood (Black),http://images.example.com/product/converted/883049/883049234083.jpg,41952314032520181,883049234083,2013-02-08 10:11:34,2013-01-23 02:16:06,APPLIANCES,NULL,Whirlpool,0
IMPORT HOME HARDWARE,308961,DOOR & WINDOW HARDWARE,Die-Cast Horizontal Sliding Window Sash Lift,http://images.example.com/product/converted/010254/010254209517.jpg,41952738317731575,010254209517,2013-02-08 10:10:45,2013-01-23 02:09:09,HARDWARE,NULL,Gatehouse,0
REPLACEMENT WINDOW HARDWARE,30003,DOOR & WINDOW HARDWARE,1-3/4-in Diecast Antique Brass Bifold Closet Door Knob,http://images.example.com/product/converted/049793/049793073709.jpg,41958279196139764,049793073709,2013-02-08 10:10:42,2013-01-23 01:53:01,HARDWARE,NULL,Prime-Line,0
MICROWAVES - CTP - GE,399151,COUNTERTOP MICROWAVES,Profile 2 cu ft 1500-Watt Countertop Microwave (Stainless),http://images.example.com/product/converted/084691/084691164166.jpg,41964680173428165,084691164166,2013-02-08 10:11:30,2013-01-23 02:15:26,APPLIANCES,NULL,GE,0
CHAIN AND ROPE ACCESSORIES,191107,"ROPE, CHAIN & TIEDOWNS","3/4"" Steel Wire-cable thimble",http://images.example.com/product/converted/038613/038613177925.jpg,41964814855224272,038613177925,2013-02-08 10:10:00,2013-01-23 02:03:23,HARDWARE,NULL,Stanley-National Hardware,0
STAPLERS & RIVETERS & HOT MELT GLUE,45190,CONSUMER FASTENING,"3/8"" Manual Staple Gun",http://images.example.com/product/converted/045731/045731131470.jpg,41970784886312757,045731131470,2013-02-08 10:11:44,2013-01-23 01:54:04,HARDWARE,NULL,Stanley,0
LIVE NURSERY-PERENNIALS,418020,"ANNUALS, PERENNIALS & VEGETABLES",1-Gallon Russian Sage (L5491),http://images.example.com/product/converted/000000/000000000000.jpg,41972208016148526,022532066521,2013-02-08 10:11:35,2013-01-23 02:16:09,NURSERY & GARDENING,NULL,Unbranded,0
PACKAGED FASTENERS,57482,FASTENERS,12-Count #8 x 1-in Zinc Plated Sheet Metal Screws,http://images.example.com/product/converted/008236/008236587975.jpg,41986642509007057,008236587975,2013-02-08 10:11:52,2013-01-23 01:54:59,HARDWARE,NULL,The Hillman Group,0
STYLE SELECTIONS MIRRORS,107307,MIRRORS & ACCENTS,SS 8X20 MAY OUR HOME PANEL MIRROR,http://images.example.com/product/converted/000000/000000000000.jpg,42003268984734791,740459626801,2013-02-08 10:09:27,2013-01-23 01:58:36,WIND/WALLS,NULL,Style Selections,0
NCF - OUTDOOR DECOR,269484,OUTDOOR DECOR / ACCESSORIES,Yellow Solar-Powered LED Deck Light,http://images.example.com/product/converted/871451/871451001799.jpg,42025423601133788,871451001799,2013-02-08 10:10:31,2013-01-23 02:07:23,OUTDOOR FASHIONS,NULL,Unbranded,0
LIVE NURSERY-SHD & FLR. CONT. TREES,93599,SHRUBS/TREES,5.5-Gallon Sugar Maple Tree (L1066),http://images.example.com/product/converted/042113/042113890925.jpg,42032389318064166,042113890925,2013-02-08 10:12:11,2013-01-23 01:57:37,NURSERY & GARDENING,NULL,Unbranded,0
PONDS & ACCESSORIES,59084,PONDS/WATER GARDENING,330 GPH Water Garden Pond Pump,http://images.example.com/product/converted/871980/871980400131.jpg,42038233068574883,871980400131,2013-02-08 10:11:52,2013-01-23 01:55:07,OUTDOOR FASHIONS,NULL,smartpond,0
SLIDERS,54498,GENERAL HARDWARE,"3/4"" SUPER SLIDERS 4700095N",http://images.example.com/product/converted/000000/000000000000.jpg,42052232428939313,841515006282,2013-02-08 10:11:50,2013-01-23 01:54:48,HARDWARE,NULL,Waxman,0
PICTURE HANGERS AND WIRE,264588,CONSUMER FASTENING,"J/N HNGMN NOTEHOLDER3"" WHITE",http://images.example.com/product/converted/008236/008236886931.jpg,42058396427894842,008236886931,2013-02-08 10:10:29,2013-01-23 02:07:14,HARDWARE,NULL,Anchor Wire,0
CHAIN AND ROPE ACCESSORIES,348298,"ROPE, CHAIN & TIEDOWNS","5/16"" SS ANCHOR SHACKLE?(-37649)",http://images.example.com/product/converted/071514/071514009827.jpg,42065745967722627,020418204678,2013-02-08 10:11:04,2013-01-23 02:11:53,HARDWARE,NULL,Covert,0
LIVE NURSERY-BROADLEAF EVER. SHRUBS,331405,SHRUBS/TREES,2.25-Gallon Bayberry (L11308),http://images.example.com/product/converted/096565/096565213498.jpg,42075990090765270,096565213498,2013-02-08 10:10:56,2013-01-23 02:10:50,NURSERY & GARDENING,NULL,Unbranded,0
CHROME PULLOUT,297434,KITCHEN FAUCETS,DRP MOEN DORSEY CH PULLOUT,http://images.example.com/product/converted/026508/026508189016.jpg,42076377072175160,026508189016,2013-02-08 10:10:41,2013-01-23 02:08:35,FASHION PLUMBING,NULL,Moen,0
EVAPORATIVE COOLERS ACCESSORIES,87226,SEASONAL COOLING,Replacement Aspen Evaporative Cooler Pad,http://images.example.com/product/converted/053523/053523002051.jpg,42088152520981882,053523002051,2013-02-08 10:12:08,2013-01-23 01:57:10,OUTDOOR FASHIONS,NULL,Aspen Snow-Cool,0
TOOLS - SCREWDRIVING BITS,353388,POWER TOOLS ACCESSORIES,1/4-in x 1-in Torx Impact Screwdriving Bit,http://images.example.com/product/converted/885911/885911243926.jpg,42092406242276074,885911243926,2013-02-08 10:11:08,2013-01-23 02:12:22,TOOLS,NULL,DEWALT,0
CEDAR BOARDS,356462,WHITEWOOD BOARDS,11/16X8X12 CEDAR BEVELED,http://images.example.com/product/converted/716781/716781133683.jpg,42092435754366490,716781133683,2013-02-08 10:11:10,2013-01-23 02:12:38,LUMBER,NULL,Unbranded,0
LIVE NURSERY - GREENHOUSE FOLIAGE,95043,HOUSE PLANTS,2.25-Gallon Lucky Bamboo,http://images.example.com/product/converted/022532/022532317654.jpg,42093347040525006,022532317654,2013-02-08 10:12:12,2013-01-23 01:57:46,NURSERY & GARDENING,NULL,Unbranded,0
WALL ART & DECOR,372369,MIRRORS & ACCENTS,"12""W x 12""H Butterfly Canvas Wall Art",http://images.example.com/product/converted/740459/740459111017.jpg,42097001163167492,740459111017,2013-02-08 10:11:16,2013-01-23 02:13:46,WIND/WALLS,NULL,Unbranded,0
AUTOMOTIVE CONSUMABLES,321343,"TRUCK, TRAILERS & ACCESSORIES",FRAM CA9400 AIR FILTER,http://images.example.com/product/converted/000000/000000000000.jpg,42100540953784192,009100032232,2013-02-08 10:10:51,2013-01-23 02:10:09,HARDWARE,NULL,FRAM,0
STANLEY EYE BOLTS/SCREW EYES,22253,DOOR & WINDOW HARDWARE,Zinc Plated U-Bolt,http://images.example.com/product/converted/010254/010254206097.jpg,42106248224438502,010254206097,2013-02-08 10:10:11,2013-01-23 01:52:17,HARDWARE,NULL,Unbranded,0
PRE-HUNG:MOLDED HOLLOW CORE 2 PANEL,130289,INTERIOR DOORS,36-in x 80-in 2-Panel Hollow Molded Composite Left-Hand Interior Single Prehung Door,http://images.example.com/product/converted/030151/030151092203.jpg,42122832457138115,030151092203,2013-02-08 10:09:36,2013-01-23 01:59:48,MILLWORK,NULL,ReliaBilt,0
PRE-HUNG OAK,123387,INTERIOR DOORS,"36"" 6 PNL OAK SOL/SOL 356 LH",http://images.example.com/product/converted/000000/000000000000.jpg,42122958264434378,030151060400,2013-02-08 10:09:33,2013-01-23 01:59:30,MILLWORK,NULL,ReliaBilt,0
MULTI-PURPOSE CABINETS,340709,MULTI PURPOSE CABINETS,"71-1/8""H x 18-7/8""W x 17""D Wood Composite Multipurpose Cabinet",http://images.example.com/product/converted/042666/042666107167.jpg,42139481562097974,042666107167,2013-02-08 10:11:02,2013-01-23 02:11:41,KITCHEN CABINETS AND COUNTERTOPS,NULL,Sauder,0
SOS DISPLAYS - BUILT INS,91239,APPLIANCE FLOOR DISPLAYS,SOS DISPLAY ONLY - NET7552UC,http://images.example.com/product/converted/825225/825225841562.jpg,42145827698289940,825225841562,2013-02-08 10:12:10,2013-01-23 01:57:23,APPLIANCES,NULL,Bosch,0
HOLIDAY - CANDLES,102697,TRIM-A-TREE,11 Oz. Candle,http://images.example.com/product/converted/645712/645712266834.jpg,42183088635543044,645712266834,2013-02-08 10:09:25,2013-01-23 01:58:21,OUTDOOR FASHIONS,NULL,For Every Body,0
SWIM TOYS AND SAFETY,317791,POOL PRODUCTS,SPRING JAM BASKETBALL,http://images.example.com/product/converted/795861/795861121109.jpg,42191309421992009,795861121109,2013-02-08 10:10:48,2013-01-23 02:09:38,OUTDOOR FASHIONS,NULL,SwimWays,0
CONSUMER SPOOLED CORD,181841,ELECTRICAL CABLE,20-Gauge 2-Conductor Security Cable,http://images.example.com/product/converted/032886/032886855580.jpg,42212077808269180,032886855580,2013-02-08 10:09:57,2013-01-23 02:02:54,ROUGH ELECTRICAL,NULL,Southwire,0
PICTURE HANGERS AND WIRE,346669,CONSUMER FASTENING,Wide Channel Mirror Clip,http://images.example.com/product/converted/008236/008236030259.jpg,42212257024399996,008236030259,2013-02-08 10:11:03,2013-01-23 02:11:48,HARDWARE,NULL,The Hillman Group,0
CAN:PAINT-INTERIOR-PARA LIFESTYLES,327980,INTERIOR PAINTS,3.47L PARA LSTYLE INT LX SG DP,http://images.example.com/product/converted/000000/000000000000.jpg,42219817244073305,772743082710,2013-02-08 10:10:54,2013-01-23 02:10:30,PAINT,NULL,Para,0
JUVENILE BOOKS,361225,BOOKS & MAGAZINES,SECRET LIVES OF BACKYARD BUGS,http://images.example.com/product/converted/000000/000000000000.jpg,42220383252701882,9781603425636,2013-02-08 10:11:12,2013-01-23 02:13:12,WIND/WALLS,NULL,Unbranded,0
PLANT STANDS AND CADDIES,397481,PLANT ACCESSORIES,16.2-in Plant Stand,http://images.example.com/product/converted/096528/096528784133.jpg,42225192715655434,096528784133,2013-02-08 10:11:29,2013-01-23 02:15:20,OUTDOOR FASHIONS,NULL,Garden Treasures,0
FRAMING HARDWARE,41255,FASTENERS,"D  1-1/4""X11 WALL BRACE 4PK RWB11",http://images.example.com/product/converted/000000/000000000000.jpg,42240126124726229,081942096337,2013-02-08 10:11:34,2013-01-23 01:53:48,HARDWARE,NULL,USP,0
TILE - IMPORT,403454,CERAMICS,3-in x 12-in Ardena Grey Ardena Grey Ceramic Bullnose Tile,http://images.example.com/product/converted/694753/6947531900123.jpg,42248146049850610,6947531900123,2013-02-08 10:11:31,2013-01-23 02:15:38,FLOORING,NULL,Style Selections,0
LAWN & GARDEN - MOWERS - PUSH,372083,WALK BEHIND MOWERS,4.50 ft-lbs 21-in Gas Push Lawn Mower,http://images.example.com/product/converted/043033/043033559633.jpg,42261202924459339,043033559633,2013-02-08 10:11:16,2013-01-23 02:13:44,OUTDOOR POWER EQUIPMENT,NULL,Bolens,0
SPECIALTY HARD-TO-FIND,139169,FASTENERS,6-Count #8-32 x 2-in Brass Standard (SAE) Machine Screw,http://images.example.com/product/converted/008236/008236719987.jpg,42262074585791226,008236719987,2013-02-08 10:09:40,2013-01-23 02:00:21,HARDWARE,NULL,The Hillman Group,0
PLUMBING-P/F - PVC PRES. FTGS. SCH40,330549,FITTINGS,"1"" Push Tee for Sch 40",http://images.example.com/product/converted/025528/025528784249.jpg,42274539041048219,025528784249,2013-02-08 10:10:55,2013-01-23 02:10:45,ROUGH PLUMBING,NULL,LASCO,0
LINEAR TRACK,232850,TRACK LIGHTING,DRP LIVE END W/ 1PC COVER BLACK,http://images.example.com/product/converted/000000/000000000000.jpg,42284012458726591,022011766881,2013-02-08 10:10:16,2013-01-23 02:05:31,LIGHTING,NULL,Portfolio,0
ROUND SEATS PLASTIC WHITE,222097,TOILET SEATS,SEAT RD WHITE PLASTIC,http://images.example.com/product/converted/000000/000000000000.jpg,42287786833872188,073088125767,2013-02-08 10:10:11,2013-01-23 02:05:00,FASHION PLUMBING,NULL,Westport,0
BULK FASTENERS-GALV/STAINLESS STEEL,67303,FASTENERS,GALVANIZED HEX BOLT      5/16,http://images.example.com/product/converted/000000/000000000000.jpg,42296608665070612,008236347623,2013-02-08 10:11:57,2013-01-23 01:55:43,HARDWARE,NULL,The Hillman Group,0
HARDWARE - PADLOCKS,358318,INTERIOR SECURITY,KEY SAFE WALL MOUNT,http://images.example.com/product/converted/000000/000000000000.jpg,42302332139327192,039208986571,2013-02-08 10:11:11,2013-01-23 02:13:02,HARDWARE,NULL,Brinks,0
DREMEL,104166,ROTARY TOOLS & ACCESSORIES,Aluminum Oxide Flapping Wheel,http://images.example.com/product/converted/080596/080596011826.jpg,42308120829199276,080596011826,2013-02-08 10:09:26,2013-01-23 01:58:26,TOOLS,NULL,Dremel,0
SANDING - SPONGES,291942,PAINT SUNDRIES & SANDING,"Step3 3"" x 5"" Sponge 220",http://images.example.com/product/converted/082354/082354073022.jpg,42310212727970294,082354073022,2013-02-08 10:10:38,2013-01-23 02:08:17,PAINT,NULL,Gator,0
SPECIALTY FENCING,417990,DECORATIVE,72-in x 96-in Natural Bamboo Outdoor Privacy Screen,http://images.example.com/product/converted/871746/871746001350.jpg,42310847202274422,871746001350,2013-02-08 10:11:35,2013-01-23 02:16:09,LUMBER,NULL,Backyard X-Scapes,0
GARDEN CARE - PLANT FOOD,154264,FERTILIZER,"10 Lbs Synthetic Azaleas, Camellias and Rhododendrons Food Granules",http://images.example.com/product/converted/070624/070624002148.jpg,42323852787208468,070624002148,2013-02-08 10:09:46,2013-01-23 02:01:19,NURSERY & GARDENING,NULL,Lilly Miller,0
ALLEN + ROTH METAL DRAPERY HARDWARE,275318,DRAPERY HARDWARE,72-in to 144-in Raffia Texture Curtain Rod,http://images.example.com/product/converted/834363/834363006450.jpg,42329839875584869,834363006450,2013-02-08 10:10:33,2013-01-23 02:07:40,WIND/WALLS,NULL,allen + roth,0
MAPLE BOARDS,359739,FINISH BOARDS,3/4 x 3 x 6 Kiln-Dried Maple Board,http://images.example.com/product/converted/091489/091489302778.jpg,42330081532423597,091489302778,2013-02-08 10:11:11,2013-01-23 02:13:06,MILLWORK,NULL,ApplePly,0
ELECTRICAL TESTERS,157879,ELECTRICAL TOOLS,CIR  TEST DP-504A/GVD-504A(18400),http://images.example.com/product/converted/000000/000000000000.jpg,42330730167481266,032076016883,2013-02-08 10:09:47,2013-01-23 02:01:33,TOOLS,NULL,Gardner Bender,0
CUTDOWN CELLULAR SHADES - LEVOLOR,58881,WINDOW TREATMENTS - BLINDS & SHADES,30-in W x 72-in L Snow Room Darkening Cellular Shade,http://images.example.com/product/converted/027088/027088838233.jpg,42337411080458613,027088838233,2013-02-08 10:11:52,2013-01-23 01:55:06,WIND/WALLS,NULL,Custom Size Now by Levolor,0
HOLIDAY - CANDLES,350672,TRIM-A-TREE,4-in Cordless Gold LED Electric Pillar Candle,http://images.example.com/product/converted/000000/000000000000.jpg,42340264377546430,805780313575,2013-02-08 10:11:05,2013-01-23 02:12:04,OUTDOOR FASHIONS,NULL,Holiday Living,0
TOOLS - WELDERS & ACCESSORIES,192670,SHOP & SPECIALTY EQUIPMENT,Electrode Holder,http://images.example.com/product/converted/879686/879686000587.jpg,42347196898508579,879686000587,2013-02-08 10:10:00,2013-01-23 02:03:26,TOOLS,NULL,Task Force,0
REMOVERS,206486,THINNERS & SOLVENTS,Quart Paste Multi-Surface Stripper,http://images.example.com/product/converted/023857/023857765410.jpg,42349152151447171,023857765410,2013-02-08 10:10:05,2013-01-23 02:04:06,PAINT,NULL,Crown,0
HARDIPANELS,7107,FIBER-CEMENT SIDING,8-in x 144-in Woodgrain Fiber Cement Lap Siding,http://images.example.com/product/converted/727396/727396157018.jpg,42352065963285100,727396157018,2013-02-08 10:12:00,2013-01-23 01:51:05,BUILDING MATERIALS,NULL,James Hardie,0
