category,itemId,parentCategory,title,imageUrl,itemHashint64,upc,modifiedDate,createdDate,department,popularityIndex,brand,isActive
SOLID WOOD FLOORING,360834,STOCK WOOD,3-1/4-in W Oak Solid Hardwood Flooring,http://images.example.com/product/converted/542005/5420053116001.jpg,190139987985730,5420053116001,2013-02-08 10:11:12,2013-01-23 02:13:10,FLOORING,NULL,Style Selections,0
STEPSTOOLS,225475,LADDERS,3-Step Steel Step Stool,http://images.example.com/product/converted/051751/051751071467.jpg,214014134953077,051751071467,2013-02-08 10:10:13,2013-01-23 02:05:11,BUILDING MATERIALS,NULL,Werner,0
AMERICAN STANDARD TOILETS,270018,TOILETS,White Elongated Toilet,http://images.example.com/product/converted/033056/033056696293.jpg,226967457726990,033056696293,2013-02-08 10:10:31,2013-01-23 02:07:25,FASHION PLUMBING,NULL,American Standard,0
FLOWER BULBS - SPRING,233733,FLOWER BULBS,LILIE COMBO BRUNELLO/NAVONA 10CT,http://images.example.com/product/converted/000000/000000000000.jpg,226980846376900,093497227791,2013-02-08 10:10:16,2013-01-23 02:05:34,NURSERY & GARDENING,NULL,Unbranded,0
LIVE NURSERY-PALM TREES,50738,SHRUBS/TREES,8.0 GAL PALM KENTIA,http://images.example.com/product/converted/000000/000000000000.jpg,229554198419738,091561252045,2013-02-08 10:11:49,2013-01-23 01:54:30,NURSERY & GARDENING,NULL,Unbranded,0
NUMBERS AND LETTERS,177295,GENERAL HARDWARE,Blue Circle California ADA. Women Signs,http://images.example.com/product/converted/030546/030546910013.jpg,230952142083422,030546910013,2013-02-08 10:09:55,2013-01-23 02:02:41,HARDWARE,NULL,Hillman Sign Center,0
STAPLERS & RIVETERS & HOT MELT GLUE,45311,CONSUMER FASTENING,"100-Pack 1/8"" x 1/2"" Aluminum Grommets",http://images.example.com/product/converted/045731/045731124106.jpg,243220838384857,045731124106,2013-02-08 10:11:44,2013-01-23 01:54:05,HARDWARE,NULL,Stanley,0
PREMIX,11610,"GROUTS, MORTARS, SEALERS",7 lbs Antique White Sanded Premixed Grout,http://images.example.com/product/converted/720468/720468366011.jpg,255269618125031,720468366011,2013-02-08 10:09:30,2013-01-23 01:51:27,FLOORING,NULL,TEC,0
WOODGATE HANCOCK PEPPER CABINETS,314098,IN-STOCK KITCHEN CABINETS,24-in x 30-in Wall Cabinet,http://images.example.com/product/converted/719839/719839731541.jpg,259162936544957,719839731541,2013-02-08 10:10:47,2013-01-23 02:09:22,KITCHEN CABINETS AND COUNTERTOPS,NULL,Woodgate,0
PLYWOOD - OSB SHEATHING,190006,"SHEATHING, SUBFLOOR, & UNDERLAYMENT",DELTA FLOOR UNDERLAYMENT ROLL,http://images.example.com/product/converted/807595/807595510309.jpg,264099854144085,807595510309,2013-02-08 10:10:00,2013-01-23 02:03:20,LUMBER,NULL,DELTA,0
KWIKSET SIGNATURES,34761,LOCKSETS,KWIKSET VB BED/BATH JUNO,http://images.example.com/product/converted/042049/042049357028.jpg,288813222258645,042049357028,2013-02-08 10:11:03,2013-01-23 01:53:26,HARDWARE,NULL,Kwikset,0
BRASSCRAFT FAUCET REPAIR,240956,FAUCET/TOILET/SINK/MISC REPAIR,3-Spray Showerhead,http://images.example.com/product/converted/039166/039166105106.jpg,302573931925040,039166105106,2013-02-08 10:10:20,2013-01-23 02:06:01,ROUGH PLUMBING,NULL,Pfister,0
PRE-HUNG:MOLDED HOLLOW CORE 2 PANEL,244859,INTERIOR DOORS,32-in x 80-in 2-Panel Hollow Molded Composite Right-Hand Interior Single Prehung Door,http://images.example.com/product/converted/030151/030151120302.jpg,313293185313918,030151120302,2013-02-08 10:10:21,2013-01-23 02:06:25,MILLWORK,NULL,ReliaBilt,0
LIVE NURSERY-ANNUALS,94197,"ANNUALS, PERENNIALS & VEGETABLES",1-Pint Nonstop Begonia (L14884),http://images.example.com/product/converted/028289/028289112009.jpg,314418050099407,028289112009,2013-02-08 10:12:12,2013-01-23 01:57:41,NURSERY & GARDENING,NULL,Unbranded,0
GARAGE DOOR PARTS - HARDWARE,192811,GARAGE DOOR,#1/CENTER GARAGE DR HINGE (14-G),http://images.example.com/product/converted/050049/050049015541.jpg,315180782682752,050049015541,2013-02-08 10:10:00,2013-01-23 02:03:27,MILLWORK,NULL,Genie,0
LIVE NURSERY-PALM TREES,16774,SHRUBS/TREES,1.75-Gallon Queen Palm (L6258),http://images.example.com/product/converted/091561/091561871031.jpg,324031615402719,091561871031,2013-02-08 10:09:52,2013-01-23 01:51:51,NURSERY & GARDENING,NULL,Unbranded,0
FLASHLIGHTS,41852,FLASHLIGHTS,LED Handheld Flashlight,http://images.example.com/product/converted/084871/084871315357.jpg,328220358921641,084871315357,2013-02-08 10:11:35,2013-01-23 01:53:51,HARDWARE,NULL,SureFire,0
IMPORT BARREL BOLTS/HASPS,386334,DOOR & WINDOW HARDWARE,"3-1/4"" Stainless Steel Safety Hasp",http://images.example.com/product/converted/000000/000000000000.jpg,328537682277207,038613348257,2013-02-08 10:11:24,2013-01-23 02:14:39,HARDWARE,NULL,Stanley-National Hardware,0
SPECIALTY,169163,SPRAYS & ENAMELS,DEC KIT COTTAGE GREEN R-O,http://images.example.com/product/converted/000000/000000000000.jpg,328938346906496,020066130145,2013-02-08 10:09:52,2013-01-23 02:02:14,PAINT,NULL,Rust-Oleum American Accents,0
LIVE NURSERY-ANNUALS,462122,"ANNUALS, PERENNIALS & VEGETABLES",3.50 QT LANTANA FLWRS FOR FL,http://images.example.com/product/converted/000000/000000000000.jpg,357768986124468,022532100591,2013-02-08 10:11:46,2013-01-23 02:17:20,NURSERY & GARDENING,NULL,Unbranded,0
